"Impound.No","Intake.Date","Intake.Type","Animal.Type","Neutered.Status","Sex","Age.Intake","Condition","Breed","Aggressive","Independent","Intelligent","Loyal","Social","Good.with.Kids","Max.Life.Expectancy","Max.Weight","Dog.Group","Color","Weight","Lab.Test","Outcome.Date","Outcome.Type","Days.Shelter"
"K12-000031","1/1/12","Stray","Dog","Spayed","Female",10,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",3.3,"Heartworm Negative"," 1/7/12","Adoption",6
"K12-000037","1/1/12","Stray","Dog","Intact","Female",3,"Normal","Rat Terrier Mix","N","N","Y","N","Y","Y",14,25,"Terrier","White & Brown",7.5,"No Lab Test"," 1/3/12","Return to Owner",2
"K12-000108","1/1/12","Stray","Dog","Intact","Male",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue & White",74,"Heartworm Negative"," 1/13/12","Humane Euthanasia",12
"K12-000125","1/1/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr & Border Collie","N","Y","Y","Y","Y","Y",12,79,"Sporting","White & Black",22,"No Lab Test"," 1/8/12","Adoption",7
"K12-000157","1/1/12","Stray","Dog","Neutered","Male",3,"Injured or Sick","Labrador Retr ","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",54,"Heartworm Negative"," 4/4/12","Adoption",94
"K12-000286","1/1/12","Stray","Dog","Neutered","Male",5,"Normal","Yorkshire Terr ","N","N","N","Y","N","Y",15,7,"Terrier","Silver & Tan",4.8,"Heartworm Negative"," 1/10/12","Return to Owner",9
"K12-000291","1/1/12","Owner Surrender","Dog","Intact","Male",2,"Normal","Weimaraner Mix","N","N","Y","Y","Y","Y",13,80,"Sporting","Fawn & White",47,"Heartworm Positive"," 1/26/12","Humane Euthanasia",25
"K12-000384","1/8/12","Stray","Dog","Spayed","Female",1,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","White ",10,"Heartworm Negative"," 1/21/12","Transfer",13
"K12-000416","1/8/12","Public Assist","Dog","Spayed","Female",1,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & White",6,"No Lab Test"," 1/20/12","Return to Owner",12
"K12-000497","1/8/12","Stray","Dog","Spayed","Female",6,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",9.5,"Heartworm Negative"," 1/22/12","Adoption",14
"K12-000498","1/8/12","Stray","Dog","Neutered","Male",1,"Normal","Fox Terrier Smooth Mix","N","N","N","N","N","N",15,20,"Terrier","White & Red",16.5,"Heartworm Negative"," 1/19/12","Adoption",11
"K12-000599","1/8/12","Stray","Dog","Spayed","Female",1,"Normal","Blue Lacy Mix","N","N","Y","N","Y","Y",15,35,"Hound","Tan & White",46,"Heartworm Negative"," 1/20/12","Adoption",12
"K12-000616","1/8/12","Stray","Dog","Neutered","Male",8,"Normal","Beagle Mix","N","N","Y","N","Y","Y",15,35,"Hound","White & Black",34,"Heartworm Positive"," 1/19/12","Transfer",11
"K12-000642","1/15/12","Owner Surrender","Cat","Spayed","Female",15,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",9.8,"FeLV Negative, FIV Negative"," 1/24/12","Adoption",9
"K12-000653","1/15/12","Stray","Cat","Neutered","Male",4,"Normal","Maine Coon Mix","","","","","","",NA,NA,"","Blue ",13,"FeLV Negative, FIV Positive"," 1/26/12","Return to Owner",11
"K12-000712","1/15/12","Owner Surrender","Dog","Spayed","Female",5,"Normal","Beagle & Basset Hound","N","N","Y","N","Y","Y",15,35,"Hound","Tricolor ",62,"Heartworm Positive"," 1/17/12","Transfer",2
"K12-000798","1/15/12","Owner Surrender","Cat","Spayed","Female",4,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",9,"FeLV Negative, FIV Negative"," 3/30/12","Transfer",75
"K12-000804","1/15/12","Stray","Dog","Spayed","Female",3,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",48.25,"Heartworm Negative"," 4/16/12","Adoption",92
"K12-000893","1/15/12","Owner Surrender","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",10.5,"FeLV Negative, FIV Positive"," 2/12/12","Adoption",28
"K12-000903","1/15/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",4.5,"FeLV Negative, FIV Positive"," 2/12/12","Adoption",28
"K12-000957","1/15/12","Owner Surrender","Dog","Neutered","Male",3,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue ",55.3,"Heartworm Negative"," 1/31/12","Adoption",16
"K12-000967","1/22/12","Stray","Dog","Spayed","Female",7,"Normal","Pit Bull & Rottweiler","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",57,"Heartworm Negative"," 1/22/12","Return to Owner",0
"K12-000975","1/22/12","Stray","Cat","Neutered","Male",2,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",6.3,"FeLV Negative, FIV Negative"," 1/22/12","Return to Owner",0
"K12-001015","1/22/12","Stray","Dog","Spayed","Female",2,"Normal","Rhod Ridgeback Mix","N","Y","N","Y","N","Y",12,85,"Hound","Red & Black",57,"Heartworm Negative"," 2/9/12","Transfer",18
"K12-001062","1/22/12","Owner Surrender","Cat","Spayed","Female",9,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",6.75,"FeLV Negative, FIV Negative"," 8/9/12","Humane Euthanasia",200
"K12-001080","1/22/12","Stray","Dog","Neutered","Male",7,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & White",4.3,"Heartworm Positive"," 2/1/12","Return to Owner",10
"K12-001092","1/22/12","Stray","Dog","Spayed","Female",3,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","White & Tan",43,"Heartworm Negative"," 1/25/12","Return to Owner",3
"K12-001109","1/22/12","Stray","Dog","Neutered","Male",5,"Normal","Yorkshire Terr Mix","N","N","N","Y","N","Y",15,7,"Terrier","Silver & Tan",15.3,"Heartworm Negative"," 1/31/12","Adoption",9
"K12-001213","1/22/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Red & Black",12.3,"No Lab Test"," 2/6/12","Adoption",15
"K12-001228","1/22/12","Stray","Dog","Neutered","Male",2,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","White & Red",47.5,"Heartworm Positive"," 3/17/12","Transfer",55
"K12-001282","1/29/12","Stray","Dog","Neutered","Male",7,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan ",3.3,"Heartworm Negative"," 2/3/12","Transfer",5
"K12-001295","1/29/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Basset Hound & Boston Terrier","N","N","N","Y","Y","Y",12,65,"Hound","Br Brindle & White",15.5,"No Lab Test"," 1/31/12","Adoption",2
"K12-001302","1/29/12","Stray","Cat","Spayed","Female",4,"Injured or Sick","Domestic Lh Mix","","","","","","",NA,NA,"","Tortie ",10.8,"FeLV Negative, FIV Negative"," 2/20/12","Adoption",22
"K12-001429","1/29/12","Stray","Dog","Spayed","Female",0,"Normal","Welsh Corgi Car Mix","N","N","Y","Y","Y","Y",15,34,"Herding","Tan & White",9.5,"No Lab Test"," 2/9/12","Adoption",11
"K12-001449","1/29/12","Stray","Dog","Neutered","Male",0,"Normal","Newfoundland & Labrador Retr","N","N","Y","Y","Y","Y",10,180,"Working","Black ",13,"No Lab Test"," 2/11/12","Adoption",13
"K12-001451","1/29/12","Stray","Dog","Neutered","Male",4,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tricolor ",15.3,"Heartworm Negative"," 2/7/12","Transfer",9
"K12-001478","1/29/12","Stray","Dog","Intact","Male",13,"Injured or Sick","Germ Shepherd ","N","N","Y","Y","N","Y",12,88,"Working","Brown & Black",85,"Heartworm Negative"," 2/5/12","Return to Owner",7
"K12-001671","2/5/12","Owner Surrender","Dog","Spayed","Female",1,"Normal","Great Dane Mix","N","N","Y","Y","Y","Y",10,180,"Working","Black & White",63,"Heartworm Negative"," 2/10/12","Adoption",5
"K12-001692","2/5/12","Owner Surrender","Dog","Neutered","Male",1,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","White & Tan",9.8,"No Lab Test"," 2/9/12","Return to Owner",4
"K12-001716","2/5/12","Stray","Dog","Intact","Male",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",53,"No Lab Test"," 2/24/12","Humane Euthanasia",19
