Rank,Film,Studio,Genre,Year,Gross,Gross.Dom,Pct.Dom,Gross.Ovr,Pct.Ovr,Rotten,IMDB,Rating,Days,Budget
1,Avatar,Fox,Action/Adventure,2009,2782300000,760500000,0.273,2021800000,0.727,83,8,PG13,238,237
2,Titanic,Par.,Drama,1997,2185400000,658700000,0.301,1526700000,0.699,88,7.6,PG13,219,200
4,Harry Potter and the Deathly Hallows Part 2,WB,Action/Adventure,2011,1341500000,381000000,0.284,960500000,0.716,96,8.1,PG13,133,125
8,Skyfall,Sony,Action/Adventure,2012,1108600000,304400000,0.275,804200000,0.725,92,7.8,PG13,122,200
9,The Dark Knight Rises,WB,Action/Adventure,2012,1084400000,448100000,0.413,636300000,0.587,87,8.6,PG13,147,250
13,Star Wars: Episode I - The Phantom Menace,Fox,Action/Adventure,1999,1027000000,474500000,0.462,552500000,0.538,57,6.5,PG,261,115
15,The Hobbit: An Unexpected Journey,WB,Action/Adventure,2012,1017000000,303000000,0.298,714000000,0.702,65,8.1,PG13,133,180
16,The Dark Knight,WB,Action/Adventure,2008,1004600000,534900000,0.532,469700000,0.468,94,9,PG13,231,185
17,Harry Potter and the Sorcerer's Stone,WB,Action/Adventure,2001,974800000,317600000,0.326,657200000,0.674,80,7.3,PG,162,125
18,Jurassic Park,Uni.,Action/Adventure,1993,969900000,402500000,0.415,567400000,0.585,92,8,PG13,147,63
20,Harry Potter and the Deathly Hallows Part 1,WB,Action/Adventure,2010,960300000,296000000,0.308,664300000,0.692,78,7.6,PG13,140,150
22,Harry Potter and the Order of the Phoenix,WB,Action/Adventure,2007,939900000,292000000,0.311,647900000,0.689,79,7.4,PG13,156,150
23,Harry Potter and the Half-Blood Prince,WB,Action/Adventure,2009,934400000,302000000,0.323,632500000,0.677,84,7.4,PG13,156,250
27,Harry Potter and the Goblet of Fire,WB,Action/Adventure,2005,896900000,290000000,0.323,606900000,0.677,87,7.5,PG13,140,150
28,Spider-Man 3,Sony,Action/Adventure,2007,890900000,336500000,0.378,554300000,0.622,63,6.3,PG13,112,258
29,Ice Age: Dawn of the Dinosaurs,Fox,Animation,2009,886700000,196600000,0.222,690100000,0.778,45,7,PG,149,90
30,Harry Potter and the Chamber of Secrets,WB,Action/Adventure,2002,879000000,262000000,0.298,617000000,0.702,83,7.2,PG13,171,100
31,Ice Age: Continental Drift,Fox,Animation,2012,877200000,161300000,0.184,715900000,0.816,37,6.6,PG,210,95
33,Star Wars: Episode III - Revenge of the Sith,Fox,Action/Adventure,2005,848800000,380300000,0.448,468500000,0.552,80,7.7,PG13,155,113
36,Inception,WB,Action/Adventure,2010,825500000,292600000,0.354,533000000,0.646,86,8.8,PG13,175,160
37,Spider-Man,Sony,Action/Adventure,2002,821700000,403700000,0.491,418000000,0.509,89,7.3,PG13,159,139
38,Independence Day,Fox,Action/Adventure,1996,817400000,306200000,0.375,511200000,0.625,60,6.8,PG13,194,75
40,Harry Potter and the Prisoner of Azkaban,WB,Action/Adventure,2004,796700000,249500000,0.313,547100000,0.687,91,7.7,PG,178,130
41,E.T.: The Extra-Terrestrial,Uni.,Action/Adventure,1982,792900000,435100000,0.549,357800000,0.451,98,7.9,PG,115,10.5
42,Indiana Jones and the Kingdom of the Crystal Skull,Par.,Action/Adventure,2008,786600000,317100000,0.403,469500000,0.597,78,6.3,PG13,148,185
43,Spider-Man 2,Sony,Action/Adventure,2004,783800000,373600000,0.477,410200000,0.523,93,7.4,PG13,159,200
44,Star Wars,Fox,Action/Adventure,1977,775400000,461000000,0.595,314400000,0.405,93,8.8,PG,113,11
45,2012,Sony,Action/Adventure,2009,769700000,166100000,0.216,603600000,0.784,39,5.8,PG13,101,200
46,The Da Vinci Code,Sony,Action/Adventure,2006,758200000,217500000,0.287,540700000,0.713,25,6.4,PG13,94,125
48,The Amazing Spider-Man,Sony,Action/Adventure,2012,752200000,262000000,0.348,490200000,0.652,73,7.1,PG13,104,230
50,The Matrix Reloaded,WB,Action/Adventure,2003,742100000,281600000,0.379,460600000,0.621,73,7.1,R,183,150
57,Mission: Impossible - Ghost Protocol,Par.,Action/Adventure,2011,694700000,209400000,0.301,485300000,0.699,93,7.4,PG13,119,145
59,Forrest Gump,Par.,Drama,1994,677400000,329700000,0.487,347700000,0.513,71,8.7,PG13,133,55
62,Ice Age: The Meltdown,Fox,Animation,2006,655400000,195300000,0.298,460100000,0.702,57,6.8,PG,161,80
64,Star Wars: Episode II - Attack of the Clones,Fox,Action/Adventure,2002,649400000,310700000,0.478,338700000,0.522,67,6.7,PG,172,115
67,Fast Five,Uni.,Action/Adventure,2011,626100000,209800000,0.335,416300000,0.665,77,7.3,PG13,105,125
68,Hancock,Sony,Action/Adventure,2008,624400000,227900000,0.365,396400000,0.635,41,6.5,PG13,72,150
69,MIB 3,Sony,Action/Adventure,2012,624000000,179000000,0.287,445000000,0.713,70,6.9,PG13,108,225
70,Iron Man 2,Par.,Action/Adventure,2010,623900000,312400000,0.501,311500000,0.499,73,7.1,PG13,105,200
72,The Lost World: Jurassic Park,Uni.,Action/Adventure,1997,618600000,229100000,0.37,389600000,0.63,52,6.4,PG13,147,73
74,Mamma Mia!,Uni.,Comedy,2008,609800000,144100000,0.236,465700000,0.764,54,6.3,PG13,111,52
75,Life of Pi,Fox,Action/Adventure,2012,609000000,125000000,0.205,484000000,0.795,88,8.1,PG,226,120
77,Casino Royale,Sony,Action/Adventure,2006,599000000,167400000,0.28,431600000,0.72,95,7.9,PG13,122,150
78,War of the Worlds,Par.,Action/Adventure,2005,591700000,234300000,0.396,357500000,0.604,74,6.5,PG13,149,132
80,Men in Black,Sony,Comedy,1997,589400000,250700000,0.425,338700000,0.575,91,7.1,PG13,144,90
81,The Hangover Part II,WB,Comedy,2011,586800000,254500000,0.434,332300000,0.566,34,6.5,R,113,80
82,Quantum of Solace,Sony,Action/Adventure,2008,586100000,168400000,0.287,417700000,0.713,64,6.7,PG13,77,200
83,I Am Legend,WB,Drama,2007,585300000,256400000,0.438,329000000,0.562,70,7.1,PG13,119,150
84,Iron Man,Par.,Action/Adventure,2008,585200000,318400000,0.544,266800000,0.456,93,7.9,PG13,154,140
85,The Croods,Fox,Animation,2013,577800000,184400000,0.319,393400000,0.681,69,7.4,PG,109,135
86,Night at the Museum,Fox,Action/Adventure,2006,574500000,250900000,0.437,323600000,0.563,44,6.3,PG,189,110
87,The Smurfs,Sony,Animation,2011,563700000,142600000,0.253,421100000,0.747,22,5.3,PG,140,110
92,King Kong,Uni.,Action/Adventure,2005,550500000,218100000,0.396,332400000,0.604,84,7.3,PG13,114,207
93,Ted,Uni.,Comedy,2012,549400000,218800000,0.398,330600000,0.602,68,7.1,R,119,50
94,Mission: Impossible II,Par.,Action/Adventure,2000,546400000,215400000,0.394,331000000,0.606,57,5.9,PG13,149,125
95,Sherlock Holmes: A Game of Shadows,WB,Action/Adventure,2011,545400000,186800000,0.343,358600000,0.657,60,7.4,PG13,112,125
96,The Day After Tomorrow,Fox,Action/Adventure,2004,544300000,186700000,0.343,357500000,0.657,45,6.3,PG13,161,125
97,Despicable Me,Uni.,Animation,2010,543100000,251500000,0.463,291600000,0.537,81,7.6,PG,196,69
99,The Empire Strikes Back,Fox,Action/Adventure,1980,538400000,290500000,0.54,247900000,0.46,97,8.8,PG,121,18
101,The Simpsons Movie,Fox,Animation,2007,527100000,183100000,0.347,343900000,0.653,90,7.4,PG13,147,75
102,Sherlock Holmes,WB,Action/Adventure,2009,524000000,209000000,0.399,315000000,0.601,70,7.6,PG13,126,90
105,Meet the Fockers,Uni.,Comedy,2004,516600000,279300000,0.541,237400000,0.459,38,6.3,PG13,149,80
106,Ghost,Par.,Drama,1990,505700000,217600000,0.43,288100000,0.57,74,6.9,PG13,119,22
108,Troy,WB,Action/Adventure,2004,497400000,133400000,0.268,364000000,0.732,54,7.1,R,112,175
110,Twister,WB,Action/Adventure,1996,494500000,241700000,0.489,252800000,0.511,58,6.1,PG13,119,92
111,Clash of the Titans (2010),WB,Action/Adventure,2010,493200000,163200000,0.331,330000000,0.669,28,5.8,PG13,112,125
113,Angels & Demons,Sony,Action/Adventure,2009,485900000,133400000,0.274,352600000,0.726,37,6.6,PG13,84,150
115,Rio,Fox,Animation,2011,484600000,143600000,0.296,341000000,0.704,72,6.9,PG,147,90
116,Bruce Almighty,Uni.,Comedy,2003,484600000,242800000,0.501,241800000,0.499,48,6.6,PG13,189,81
119,Rise of the Planet of the Apes,Fox,Action/Adventure,2011,481800000,176800000,0.367,305000000,0.633,82,7.6,PG13,133,93
120,Mr. & Mrs. Smith,Fox,Action/Adventure,2005,478200000,186300000,0.39,291900000,0.61,59,6.4,PG13,189,110
121,Home Alone,Fox,Comedy,1990,476700000,285800000,0.599,190900000,0.401,54,7.3,PG,142,18
122,Return of the Jedi,Fox,Action/Adventure,1983,475100000,309300000,0.651,165800000,0.349,79,8.4,PG,131,32.5
123,Charlie and the Chocolate Factory,WB,Action/Adventure,2005,475000000,206500000,0.435,268500000,0.565,82,6.8,PG,147,150
124,Indiana Jones and the Last Crusade,Par.,Action/Adventure,1989,474200000,197200000,0.416,277000000,0.584,89,8.3,PG13,162,48
126,Jaws,Uni.,Action/Adventure,1975,470700000,260000000,0.552,210700000,0.448,100,8.2,PG,141,7
127,The Hangover,WB,Comedy,2009,467500000,277300000,0.593,190200000,0.407,79,7.8,R,196,35
128,The Matrix,WB,Action/Adventure,1999,463500000,171500000,0.37,292000000,0.63,87,8.7,R,212,63
131,X-Men: The Last Stand,Fox,Action/Adventure,2006,459400000,234400000,0.51,225000000,0.49,57,6.8,PG13,126,210
132,Mission: Impossible,Par.,Action/Adventure,1996,457700000,181000000,0.395,276700000,0.605,61,7,PG13,212,80
135,The Last Samurai,WB,Action/Adventure,2003,456800000,111100000,0.243,345600000,0.757,65,7.7,R,126,140
136,300,WB,Action/Adventure,2007,456100000,210600000,0.462,245500000,0.538,60,7.7,R,126,65
137,Ocean's Eleven,WB,Action/Adventure,2001,450700000,183400000,0.407,267300000,0.593,82,7.7,PG13,176,85
138,Thor,Par.,Action/Adventure,2011,449300000,181000000,0.403,268300000,0.597,77,7,PG13,112,150
142,The Bourne Ultimatum,Uni.,Action/Adventure,2007,442800000,227500000,0.514,215400000,0.486,94,8.1,PG13,119,110
143,Men in Black II,Sony,Action/Adventure,2002,441800000,190400000,0.431,251400000,0.569,39,5.5,PG13,62,140
144,The Exorcist,WB,Drama,1973,441300000,232900000,0.528,208400000,0.472,87,8,R,112,10.497444
145,Mrs. Doubtfire,Fox,Comedy,1993,441300000,219200000,0.497,222100000,0.503,71,6.7,PG13,131,25
146,Les Miserables (2012),Uni.,Drama,2012,437700000,148800000,0.34,288900000,0.66,69,7.7,PG13,101,61
147,Terminator 3: Rise of the Machines,WB,Action/Adventure,2003,433400000,150400000,0.347,283000000,0.653,70,6.4,R,121,200
148,The Mummy Returns,Uni.,Action/Adventure,2001,433000000,202000000,0.467,231000000,0.533,47,6.2,PG13,154,98
150,Cast Away,Fox,Action/Adventure,2000,429600000,233600000,0.544,196000000,0.456,90,7.6,PG13,175,90
151,The Matrix Revolutions,WB,Action/Adventure,2003,427300000,139300000,0.326,288000000,0.674,36,6.6,R,121,150
157,The Mummy,Uni.,Action/Adventure,1999,415900000,155400000,0.374,260500000,0.626,55,6.9,PG13,133,80
158,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,Action/Adventure,2010,415700000,104400000,0.251,311300000,0.749,49,6.3,PG,126,155
161,Night at the Museum: Battle of the Smithsonian,Fox,Action/Adventure,2009,413100000,177200000,0.429,235900000,0.571,43,5.8,PG,168,150
162,Batman,WB,Action/Adventure,1989,411300000,251200000,0.611,160200000,0.389,70,7.6,PG13,175,35
163,The Bodyguard,WB,Drama,1992,411000000,122000000,0.297,289000000,0.703,32,5.8,R,143,
165,X2: X-Men United,Fox,Action/Adventure,2003,407700000,214900000,0.527,192800000,0.473,87,7.5,PG13,147,110
166,Prometheus,Fox,Action/Adventure,2012,403400000,126500000,0.314,276900000,0.686,74,7.1,R,105,130
167,The Mummy: Tomb of the Dragon Emperor,Uni.,Action/Adventure,2008,401100000,102500000,0.256,298600000,0.744,13,5.2,PG13,56,145
170,Mission: Impossible III,Par.,Action/Adventure,2006,397900000,134000000,0.337,263800000,0.663,70,6.8,PG13,76,150
171,Snow White and the Huntsman,Uni.,Action/Adventure,2012,396600000,155300000,0.392,241300000,0.608,48,6.2,PG13,98,170
172,Grease,Par.,Comedy,1978,395000000,188800000,0.478,206200000,0.522,80,7.1,PG13,153,6
174,Superman Returns,WB,Action/Adventure,2006,391100000,200100000,0.512,191000000,0.488,75,6.2,PG13,128,270
175,Robin Hood: Prince of Thieves,WB,Action/Adventure,1991,390500000,165500000,0.424,225000000,0.576,59,6.8,PG13,164,48
