Event,Type,Record,Athlete,Nationality,Location,Year
Mens 100m,time,10.06,Bob Hayes,United States,"Tokyo, Japan",1964
Mens 100m,time,10.03,Jim Hines,United States,"Sacramento, USA",1968
Mens 100m,time,10.02,Charles Greene,United States,"Mexico City, Mexico",1968
Mens 100m,time,9.95,Jim Hines,United States,"Mexico City, Mexico",1968
Mens 100m,time,9.93,Calvin Smith,United States,"Colorado Springs, USA",1983
Mens 100m,time,9.92,Carl Lewis,United States,"Seoul, South Korea",1988
Mens 100m,time,9.9,Leroy Burrell,United States,"New York, USA",1991
Mens 100m,time,9.86,Carl Lewis,United States,"Tokyo, Japan",1991
Mens 100m,time,9.85,Leroy Burrell,United States,"Lausanne, Switzerland",1994
Mens 100m,time,9.84,Donovan Bailey,Canada,"Atlanta, USA",1996
Mens 100m,time,9.79,Maurice Greene,United States,"Athens, Greece",1999
Mens 100m,time,9.78,Tim Montgomery,United States,"Paris, France",2002
Mens 100m,time,9.77,Asafa Powell,Jamaica,"Athens, Greece",2005
Mens 100m,time,9.74,Asafa Powell,Jamaica,"Rieti, Italy",2007
Mens 100m,time,9.72,Usain Bolt,Jamaica,"New York, USA",2008
Mens 100m,time,9.69,Usain Bolt,Jamaica,"Beijing, China",2008
Mens 100m,time,9.58,Usain Bolt,Jamaica,"Berlin, Germany",2009
Womens 100m,time,11.07,Wyomia Tyus, United States,"Mexico City, Mexico",1968
Womens 100m,time,11.07,Renate Stecher, East Germany,"Munich, West Germany",1972
Womens 100m,time,11.04,Inge Helten, West Germany,"Fürth, West Germany",1976
Womens 100m,time,11.01,Annegret Richter, West Germany,"Montreal, Canada",1976
Womens 100m,time,10.88,Marlies Oelsner, East Germany,"Dresden, East Germany",1977
Womens 100m,time,10.88,Marlies Göhr, East Germany,"Karl-Marx-Stadt, East Germany",1982
Womens 100m,time,10.81,Marlies Göhr, East Germany,"Berlin, East Germany",1983
Womens 100m,time,10.79,Evelyn Ashford, United States,"US Air Force Academy, United States",1983
